l_title;r_title;label
Royal Canin Mini Light Weight Care;Royal Canin Mini Adult Dog 8kg Dry Dog Food;FALSE
ROYAL CANIN BEAGLE DOG FOOD 12KG;Royal Canin Pug Adult Dog 3kg Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 3kg;FALSE
Taste Of The Wild High Prairie Dry Dog Food;Taste Of The Wild Pacific Stream Smoked Salmon Puppy Dry Food;FALSE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Taste Of The Wild Grain Free Southwest Canyon with Wild Boar Dry Dog Food;Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food;FALSE
Royal Canin Jack Russell Terrier Puppy Recipe Dry Dog Food;Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 2KG;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 13KG;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;TRUE
Taste of the Wild Pacific Stream Puppy;TASTE OF THE WILD PACIFIC STREAM GRAIN FREE PUPPY 6KG;TRUE
Taste of the Wild Sierra Mountain Adult;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;TRUE
Taste of the Wild Sierra Mountain Roast Lamb 13Kg;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 13KG;Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 13KG;Taste of the Wild Wetlands Wild Fowl 13Kg;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 2KG;Taste of the Wild Grain Free Canine Wetlands 2kg Dry Dog Food;TRUE
