"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-DogfoodNameComparatorJaccard-record1Value","0-DogfoodNameComparatorJaccard-record2Value","0-DogfoodNameComparatorJaccard-record1PreprocessedValue","0-DogfoodNameComparatorJaccard-record2PreprocessedValue","0-DogfoodNameComparatorJaccard-similarity","0-DogfoodNameComparatorJaccard-postproccesedSimilarity","1-DogfoodComparatorMongeElkan-record1Value","1-DogfoodComparatorMongeElkan-record2Value","1-DogfoodComparatorMongeElkan-record1PreprocessedValue","1-DogfoodComparatorMongeElkan-record2PreprocessedValue","1-DogfoodComparatorMongeElkan-similarity","1-DogfoodComparatorMongeElkan-postproccesedSimilarity","2-DogfoodComparatorMongeElkanTfIdf-record1Value","2-DogfoodComparatorMongeElkanTfIdf-record2Value","2-DogfoodComparatorMongeElkanTfIdf-record1PreprocessedValue","2-DogfoodComparatorMongeElkanTfIdf-record2PreprocessedValue","2-DogfoodComparatorMongeElkanTfIdf-similarity","2-DogfoodComparatorMongeElkanTfIdf-postproccesedSimilarity"
"WekaMatchingRule","dog_058","petnutritioncenter_037","0.75",,"Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","0.16666666666666666","0.16666666666666666","Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","0.3023255813953488","0.3023255813953488","Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","Taste Of The Wild Wetlands Dry Dog Food 5lb","Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food","0.6419981434253657","0.6419981434253657"
"WekaMatchingRule","horseandhound_026","bitiba.co.uk_100","0.75",,"Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","0.0","0.0","Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","0.08947368421052632","0.08947368421052632","Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","Hill's� Science Diet� Adult Sensitive Stomach & Skin Dog Food","Royal Canin Golden Retriever Junior 23","0.30123203803835474","0.30123203803835474"
"WekaMatchingRule","healthypetcenters_068","roguevalleypet_009","0.75",,"Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","0.3684210526315789","0.3684210526315789","Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","0.2025974025974026","0.2025974025974026","Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","Blue Buffalo Freedom Grain Free Chicken Recipe Small Breed Adult Dry Dog Food","Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food","0.7061538461538462","0.7061538461538462"
"WekaMatchingRule","petsupplies_034","concordpet_133","0.25",,"Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","0.8571428571428571","0.8571428571428571","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","0.95","0.95","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food 12-lb","Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food - 4.5-lb","0.9233805168766389","0.9233805168766389"
"WekaMatchingRule","healthypetcenters_183","roguevalleypet_106","0.75",,"Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","0.25","0.25","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","0.2549019607843137","0.2549019607843137","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Jack Russell Terrier Dry Dog Food","0.659113371035708","0.659113371035708"
"WekaMatchingRule","healthypetcenters_183","roguevalleypet_107","0.21052631578947367",,"Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","0.2857142857142857","0.2857142857142857","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","0.47368421052631576","0.47368421052631576","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","Blue Buffalo Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food","Royal Canin Adult Maltese Dry Dog Food","0.6203796714698004","0.6203796714698004"
"WekaMatchingRule","dog_029","petnutritioncenter_006","0.7272727272727273",,"Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","0.25","0.25","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","0.36","0.36","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Duck and Potato Canned Dog Food","0.598764159346999","0.598764159346999"
"WekaMatchingRule","dog_029","petnutritioncenter_007","0.7272727272727273",,"Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","0.25","0.25","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","0.36","0.36","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","Blue Buffalo Basic Turkey/Potato Dry Dog Food 24lb","Blue Buffalo Basics Limited Ingredient Diet Grain Free Adult Lamb and Potato Canned Dog Food","0.5865167106330831","0.5865167106330831"
"WekaMatchingRule","petsupplies_091","petco_082","0.9534883720930233",,"Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","0.6153846153846154","0.6153846153846154","Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","0.8041666666666667","0.8041666666666667","Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","Royal Canin Yorkshire Terrier Adult Dry Dog Food","Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food 10 lbs.","0.784464540552736","0.784464540552736"
"WekaMatchingRule","dog_087","petnutritioncenter_067","0.75",,"Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","0.23529411764705882","0.23529411764705882","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","0.29130434782608694","0.29130434782608694","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon Pate Dog Food Cup","0.5757465184418769","0.5757465184418769"
